name,category,address,maps_url
ZUS Coffee – Temu Business Centre City Of Elmina,Kuala Lumpur/Selangor,"No 5 (Ground Floor), Jalan Eserina AA U16/AA Elmina, East, Seksyen U16, 40150 Shah Alam, Selangor",https://maps.app.goo.gl/XduXnuUs4E2a1VE56
ZUS Coffee – Spectrum Shopping Mall,Kuala Lumpur/Selangor,"Lot CW-5 Cafe Walk, Ground Floor Spectrum Shopping Mall Jalan Wawasan Ampang, 4, 2, Bandar Baru Ampang, 68000 Ampang, Selangor",https://maps.app.goo.gl/XPhXh6bgSb4pPaSz7
ZUS Coffee – Bandar Menjalara,Kuala Lumpur/Selangor,"37, Jalan 3/62a, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/SoxNpkV3iGxmd4Rr7
"ZUS Coffee – Jabatan Peguam Negara,  Putrajaya",Kuala Lumpur/Selangor,"Bangunan Jabatan Peguam Negara AGC Persint 4, Lot 1, Level 1, Putrajaya 62100 Malaysia",https://maps.app.goo.gl/3jKWmERn8sC6ek6V7
"ZUS Coffee – LSH33, Sentul",Kuala Lumpur/Selangor,"G-11, Ground Floor, Laman Seri Harmoni (LSH33), No. 3, Jalan Batu Muda Tambahan 3, Sentul, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/U7EbSxGQbjgtU6Qr8
"ZUS Coffee – Bandar Tun Hussein Onn, Cheras",Kuala Lumpur/Selangor,"No 48A Jalan Suarasa 8/4, Bandar Tun Hussein Onn, 43200 Cheras, Selangor",https://maps.app.goo.gl/9JbwtcN2q54sBjhk6
ZUS Coffee – AEON BiG Wangsa Maju,Kuala Lumpur/Selangor,"Lot F1.11 (First Floor), AEON BiG Wangsa Maju, 6, Jalan 8/27A, Section 5, Wangsa Maju, 53300, Kuala Lumpur, Wilayah Persekutuan",https://maps.app.goo.gl/nuMteM6vU4YrhtHb9
ZUS Coffee – Cheras Business Centre,Kuala Lumpur/Selangor,"No 6 Jalan 5/101C, Cheras Business Centre, 56100 Cheras, Kuala Lumpur",https://maps.app.goo.gl/hFRNP2j8XUnkfNEHA
"ZUS Coffee – Damansara Perdana, Petaling Jaya",Kuala Lumpur/Selangor,"12-1 (Ground floor), Jalan PJU 8/5E, Bandar Damansara Perdana, 47820 Petaling Jaya, Selangor.",https://maps.app.goo.gl/Hj1Gu2MMHGabTZXb9
"ZUS Coffee – Bandar Damai Perdana, Cheras",Kuala Lumpur/Selangor,"No 19G (Ground floor), Jalan Damai Perdana 1/9b, Bandar Damai Perdana, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/qnporqATyiphhS488
"ZUS Coffee – Desa Pandan, Ampang",Kuala Lumpur/Selangor,"No 35 (Ground Floor), Jalan 3/76D, Desa Pandan, 55100, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",https://maps.app.goo.gl/ib8foAkecu9ePYRQ8
"ZUS Coffee – Kenanga Wholesale City, Jalan Gelugor",Kuala Lumpur/Selangor,"G-92 (GF 012.2) & G-93 (GF 012.1), Ground Floor, Kompleks Kenanga Wholesale City, No. 2, Jalan Gelugor, 55200 Kuala Lumpur",https://maps.app.goo.gl/YcqBi1cYaSaCHsHJ8
Ingredients,,KCAL,
Ingredients,,KCAL,
Ingredients,,KCAL,
Ingredients,,KCAL,
Ingredients,,KCAL,
Ingredients,,KCAL,
Ingredients,,KCAL,
Ingredients,,KCAL,
Ingredients,,KCAL,
Ingredients,,KCAL,
